"","record_id","outdesc","out","outprimary","outtype","outanalysis___1","outanalysis___2","outanalysis___3","outanalysis___4","outanalysisdesc","outhowgconfound___1","outhowgconfound___2","outhowgconfound___3","outhowgconfound___4","outhowgconfound___5","outhowgconfound___6","outhowgconfound___7","outhowgconfound___8","outhowconfounddesc","outconfdomains___1","outconfdomains___2","outconfdomains___3","outconfdomains___4","outconfdomains___5","outconfdomains___6","outconfdomains___7","outconfdomains___8","outconfdomains___9","outconfdomains___10","outconfdomains___11","outconfdomains___12","outconfdomains___13","outconfdomains___14","outconfdomains___15","outconfdomains___16","outconfdomains___17","outmingenetics","outmincoinfect","outminatopic","outminneonatal","outminchildsex","outminantibiotic","outminses","outminsibling","outminsmoking","outminnutrition","outminallergens","outminpollution","outminageexp","outminageout","expdesc","expmeth___1","expmeth___2","expmeth___3","expmeth___4","expmeth___5","exptype","exptime___1","exptime___2","exptime___3","exptimedesc","compdesc","type","time2needed","time3needed","expdesc.1","time","estype","esdesc","esmethod","es","es.se.report","es.se","n","expevent","expnonevent","compevent","compnonevent","outage","id","comparison"
"28",4,"Current asthma was defined as having a doctor's diagnosis of asthma and symptoms of wheezing or asthma and/or the use of anti-asthmatic treatment (beta-agonists or inhaled corticosteroids) during the preceding 12 months.  A doctor's diagnosis was either reported in the questionnaire or confirmed during a test procedure at the clinic.",1,1,1,0,1,0,0,"Multivariate logistic regression was used to assess the association between early and current risk factors and adult asthma.  Adjustments were made for gender, current allergy, active smoking, maternal smoking during pregnancy, family history of asthma, RSV infection at first admission, furry pets at home in infancy, start of wheezing before the age of six months, and intense obstructive disease as a young child.",0,1,1,0,0,0,0,0,"The authors performed multivariate logistic regression.  Additionally, they performed separate logistic regression analyses stratified for gender and current allergic status.",1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,"hospitalized for LRTI and RSV-positive ",1,0,0,0,0,2,0,1,0,"","hospitalized for LRTI and no RSV infection",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,1
"36",4,"Current asthma was defined as having a doctor's diagnosis of asthma and symptoms of wheezing or asthma and/or the use of anti-asthmatic treatment (beta-agonists or inhaled corticosteroids) during the preceding 12 months.  A doctor's diagnosis was either reported in the questionnaire or confirmed during a test procedure at the clinic.",1,1,1,0,1,0,0,"Multivariate logistic regression was used to assess the association between early and current risk factors and adult asthma.  Adjustments were made for gender, current allergy, active smoking, maternal smoking during pregnancy, family history of asthma, RSV infection at first admission, furry pets at home in infancy, start of wheezing before the age of six months, and intense obstructive disease as a young child.",0,1,1,0,0,0,0,0,"The authors performed multivariate logistic regression.  Additionally, they performed separate logistic regression analyses stratified for gender and current allergic status.",1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,"hospitalized for LRTI and RSV-positive ",1,0,0,0,0,2,0,1,0,"","hospitalized for LRTI and no RSV infection",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,1
"38",5,"Any subsequent wheeze  - ""Frequency of wheezing episodes was recorded during the follow-up period following acute bronchiolitis."" (no mention of how long after bronchiolitis was diagnosed that infants could have a recorded wheezing episode)  ",2,1,1,0,0,0,1,"Kruskal Wallis test was used for comparison of the groups with recurrent wheezing episodes (just gave an overall p-value- no effect size)",0,0,0,0,0,0,0,1,"No adjustment was made for confounders",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRTI and RSV-positive (PCR confirmed)",1,0,0,0,0,1,0,0,1,"birth to 36 months","LRTI but no RSV",2,2,1,NA,1,1,"the authors only report a p-value so I calculated the odds ratio and SE for the first comparison- recurrence of <3 wheezing episodes during follow up (table 3)    OR 1.00 (95% CI 0.36-2.81)",2,0.47,1,0.49,70,14,26,16,14,"~ ages 0-6: exposure at ages 0-3 and follow-up from 1-3 years",5,1
"1163",5," RECURRENT WHEEZE (3+ EPISODES): ",2,3,1,0,0,0,0,"Kruskal Wallis test was used for comparison of the groups with recurrent wheezing episodes (just gave an overall p-value- no effect size)",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV(+) LRTI bronchiolitis",1,0,0,0,0,1,0,0,1,"birth to 36 months","RSV(-) bronchiolitis",2,2,1,NA,1,1,"unadjusted OR based on Table 3 stats",2,0.17,1,0.84,70,2,38,7,23,"approx ages 0-6: exposure at ages 0-3 and follow-up from 1-3 years",5,1
"43",5,"Any subsequent wheeze  - ""Frequency of wheezing episodes was recorded during the follow-up period following acute bronchiolitis."" (no mention of how long after bronchiolitis was diagnosed that infants could have a recorded wheezing episode)  ",2,1,1,0,0,0,1,"Kruskal Wallis test was used for comparison of the groups with recurrent wheezing episodes (just gave an overall p-value- no effect size)",0,0,0,0,0,0,0,1,"No adjustment was made for confounders",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRTI and RSV-positive (PCR confirmed)",1,0,0,0,0,1,0,0,1,"birth to 36 months","LRTI but no RSV",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,1
"1168",5," RECURRENT WHEEZE (3+ EPISODES): ",2,3,1,0,0,0,0,"Kruskal Wallis test was used for comparison of the groups with recurrent wheezing episodes (just gave an overall p-value- no effect size)",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV(+) LRTI bronchiolitis",1,0,0,0,0,1,0,0,1,"birth to 36 months","RSV(-) bronchiolitis",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,1
"44",5,"Any subsequent wheeze  - ""Frequency of wheezing episodes was recorded during the follow-up period following acute bronchiolitis."" (no mention of how long after bronchiolitis was diagnosed that infants could have a recorded wheezing episode)  ",2,1,1,0,0,0,1,"Kruskal Wallis test was used for comparison of the groups with recurrent wheezing episodes (just gave an overall p-value- no effect size)",0,0,0,0,0,0,0,1,"No adjustment was made for confounders",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRTI and RSV-positive (PCR confirmed)",1,0,0,0,0,1,0,0,1,"birth to 36 months","LRTI but no RSV",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,1
"1169",5," RECURRENT WHEEZE (3+ EPISODES): ",2,3,1,0,0,0,0,"Kruskal Wallis test was used for comparison of the groups with recurrent wheezing episodes (just gave an overall p-value- no effect size)",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV(+) LRTI bronchiolitis",1,0,0,0,0,1,0,0,1,"birth to 36 months","RSV(-) bronchiolitis",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,1
"46",6,"RECURRENT WHEEZE: The primary outcome was time to recurrent wheezing ever. It was defined as the earliest date during the 7-yr follow-up period when a child fulfilled one or more of the following  criteria: three physician-confirmed episodes of wheezing within the past 12 months; continuous lower respiratory symptoms (cough, wheezing) lasting >4 wk and relieved by recurrent use of bronchodilators; or moderate-to-severe wheezing episodes necessitating systemic corticosteroid use within 6 months",2,1,1,0,0,1,0,"Cox hazard ratio (HR) indicated the risk of recurrent wheezing. Interactions between treatment grouping (prednisolone vs. placebo) and pre-specified risk factors (eczema status and HRV, RSV or HRV-/RSV-negative aetiology) were studied with Cox regression. Multivariable model was repeated with significant interactions. Each study subject was censored from the analysis after the initiation of the daily controller therapy with inhaled corticosteroid treatment.  -RSV was not found to be significantly associated with risk of recurrent wheezing in the univariate model.  Therefore, it wasn't included in the multivariate model (no adjusted HR is listed so I coded it as not adjusting for confounders).",0,1,0,0,0,0,0,0,"I am just reporting on the univariate results for the association between RSV and recurrent wheezing.  As it wasn't significant, the authors didn't include it in the multivariate model.  The authors showed that there were no differences between the two groups with respect to the following characteristics: sex, blood eosinophil count, parental asthma, parental smoking, and day care.  The authors found significant differences between the children with and without recurrent wheezing for the following variables (which were included in the multivariate model): viral etiology (HRV), allergen sensitization, age <1 year, and eczema at study entry.",1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,2,2,NA,2,NA,NA,NA,1,NA,NA,NA,2,NA," -[Steve: RSV(+) LRTI]  - Children included in the RSV group could have either an RSV monoinfection or co-infection excluding HRV",1,0,0,0,0,2,0,0,1,"Birth to 3 years"," - [Steve: HRV(+) LRTI]",2,2,1,NA,1,4,"[Steve: based on multivariable Cox regression; ""In the final model of backward stepwise multivariable analysis, the risk factors for recurrent wheezing were HRV (HR 3.54, 95% CI 1.51-8.30)."" I took the inverse so that HRV was the comaparator]  - [Steve: doesn't say explicitly the RSV was the comparison group, but based on Table 1, all kids were classified into HRV or RSV groups and this was the comparison used in this study in a previous paper (Lehtinen 2007)]",2,0.28,1,0.43,78,12,32,39,28,"~ wheezing between ages 1-7",6,1
"50",6,"RECURRENT WHEEZE: The primary outcome was time to recurrent wheezing ever. It was defined as the earliest date during the 7-yr follow-up period when a child fulfilled one or more of the following  criteria: three physician-confirmed episodes of wheezing within the past 12 months; continuous lower respiratory symptoms (cough, wheezing) lasting >4 wk and relieved by recurrent use of bronchodilators; or moderate-to-severe wheezing episodes necessitating systemic corticosteroid use within 6 months",2,1,1,0,0,1,0,"Cox hazard ratio (HR) indicated the risk of recurrent wheezing. Interactions between treatment grouping (prednisolone vs. placebo) and pre-specified risk factors (eczema status and HRV, RSV or HRV-/RSV-negative aetiology) were studied with Cox regression. Multivariable model was repeated with significant interactions. Each study subject was censored from the analysis after the initiation of the daily controller therapy with inhaled corticosteroid treatment.  -RSV was not found to be significantly associated with risk of recurrent wheezing in the univariate model.  Therefore, it wasn't included in the multivariate model (no adjusted HR is listed so I coded it as not adjusting for confounders).",0,1,0,0,0,0,0,0,"I am just reporting on the univariate results for the association between RSV and recurrent wheezing.  As it wasn't significant, the authors didn't include it in the multivariate model.  The authors showed that there were no differences between the two groups with respect to the following characteristics: sex, blood eosinophil count, parental asthma, parental smoking, and day care.  The authors found significant differences between the children with and without recurrent wheezing for the following variables (which were included in the multivariate model): viral etiology (HRV), allergen sensitization, age <1 year, and eczema at study entry.",1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,2,2,NA,2,NA,NA,NA,1,NA,NA,NA,2,NA," -[Steve: RSV(+) LRTI]  - Children included in the RSV group could have either an RSV monoinfection or co-infection excluding HRV",1,0,0,0,0,2,0,0,1,"Birth to 3 years"," - [Steve: HRV(+) LRTI]",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",6,1
"51",6,"RECURRENT WHEEZE: The primary outcome was time to recurrent wheezing ever. It was defined as the earliest date during the 7-yr follow-up period when a child fulfilled one or more of the following  criteria: three physician-confirmed episodes of wheezing within the past 12 months; continuous lower respiratory symptoms (cough, wheezing) lasting >4 wk and relieved by recurrent use of bronchodilators; or moderate-to-severe wheezing episodes necessitating systemic corticosteroid use within 6 months",2,1,1,0,0,1,0,"Cox hazard ratio (HR) indicated the risk of recurrent wheezing. Interactions between treatment grouping (prednisolone vs. placebo) and pre-specified risk factors (eczema status and HRV, RSV or HRV-/RSV-negative aetiology) were studied with Cox regression. Multivariable model was repeated with significant interactions. Each study subject was censored from the analysis after the initiation of the daily controller therapy with inhaled corticosteroid treatment.  -RSV was not found to be significantly associated with risk of recurrent wheezing in the univariate model.  Therefore, it wasn't included in the multivariate model (no adjusted HR is listed so I coded it as not adjusting for confounders).",0,1,0,0,0,0,0,0,"I am just reporting on the univariate results for the association between RSV and recurrent wheezing.  As it wasn't significant, the authors didn't include it in the multivariate model.  The authors showed that there were no differences between the two groups with respect to the following characteristics: sex, blood eosinophil count, parental asthma, parental smoking, and day care.  The authors found significant differences between the children with and without recurrent wheezing for the following variables (which were included in the multivariate model): viral etiology (HRV), allergen sensitization, age <1 year, and eczema at study entry.",1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,2,2,NA,2,NA,NA,NA,1,NA,NA,NA,2,NA," -[Steve: RSV(+) LRTI]  - Children included in the RSV group could have either an RSV monoinfection or co-infection excluding HRV",1,0,0,0,0,2,0,0,1,"Birth to 3 years"," - [Steve: HRV(+) LRTI]",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",6,1
"89",10,"At 12-24-36 months after infant's discharge parents were asked to answer a structured questionnaire during a telephone interview seeking information on recurrent wheezing. Recurrent wheezing was defined as two or more physician-diagnosed wheezing episodes per year.",2,2,1,1,0,0,0,"A chi-squared test was run to compare proportions of recurrent wheezing among infants with RSV only and those with co-infections.",0,0,0,0,0,0,0,1,"authors only performed univariate comparisons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV + during hospitalization for bronchiolitis",1,0,0,0,0,2,1,0,0,"","HRV+ during hospitalization for bronchiolitis (Table 4)- no co-infection between RSV and HRV (single viruses)",2,2,2,2,1,1,"[Steve: I think we cannot use the total n provided at the top of the columns of Table 4 because there was attrition at the follow-ups. Rather, I calculated the total n for each column based on the numbers and percentages provided in each cell. When doing this you can see that there was attrition and the total n in the header row do not actually apply. I adjusted the effect size estimates accordingly.]    The authors only report the p-value from a chi-squared test, so I HAND CALCULATED the unadjusted odds ratio and SE for recurrent wheezing at 12 months (Table 4)  OR 0.61 (95% CI 0.35-1.06)",2,0.52,1,0.32,313,131,133,32,17,"recurrent wheezing in past 12 months at age 2 (ages 1-2)",10,2
"87",10,"At 12-24-36 months after infant's discharge parents were asked to answer a structured questionnaire during a telephone interview seeking information on recurrent wheezing. Recurrent wheezing was defined as two or more physician-diagnosed wheezing episodes per year.",2,2,1,1,0,0,0,"A chi-squared test was run to compare proportions of recurrent wheezing among infants with RSV only and those with co-infections.",0,0,0,0,0,0,0,1,"authors only performed univariate comparisons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV + during hospitalization for bronchiolitis",1,0,0,0,0,2,1,0,0,"","HRV+ during hospitalization for bronchiolitis (Table 4)- no co-infection between RSV and HRV (single viruses)",2,2,2,2,2,1,"[Steve: See my notes above. I recalculated the OR and SE with a new total n for each cell that accounts for attrition.]    The authors only report the p-value from a chi-squared test, so I HAND CALCULATED the unadjusted odds ratio and SE for recurrent wheezing at 24 months (Table 4)  OR 0.54 (95% CI 0.31-0.95)",2,0.52,1,0.33,263,89,130,25,19,"recurrent wheezing in past 12 months at age 3 (ages2-3)",10,2
