"","record_id","outdesc","out","outprimary","outtype","outanalysis___1","outanalysis___2","outanalysis___3","outanalysis___4","outanalysisdesc","outhowgconfound___1","outhowgconfound___2","outhowgconfound___3","outhowgconfound___4","outhowgconfound___5","outhowgconfound___6","outhowgconfound___7","outhowgconfound___8","outhowconfounddesc","outconfdomains___1","outconfdomains___2","outconfdomains___3","outconfdomains___4","outconfdomains___5","outconfdomains___6","outconfdomains___7","outconfdomains___8","outconfdomains___9","outconfdomains___10","outconfdomains___11","outconfdomains___12","outconfdomains___13","outconfdomains___14","outconfdomains___15","outconfdomains___16","outconfdomains___17","outmingenetics","outmincoinfect","outminatopic","outminneonatal","outminchildsex","outminantibiotic","outminses","outminsibling","outminsmoking","outminnutrition","outminallergens","outminpollution","outminageexp","outminageout","expdesc","expmeth___1","expmeth___2","expmeth___3","expmeth___4","expmeth___5","exptype","exptime___1","exptime___2","exptime___3","exptimedesc","compdesc","type","time2needed","time3needed","expdesc.1","time","estype","esdesc","esmethod","es","es.se.report","es.se","n","expevent","expnonevent","compevent","compnonevent","outage","id","compid","outid","w"
"2188",119,"Outcome 2: recurrent wheezing (two or more events); Recurrent wheezing was defined a-priori as two or more observations of wheezing after the LRTI event in individuals experiencing LRTI and two or more observations of wheezing in those who did not experience an LRTI.",2,2,1,0,1,0,0,"generalised estimating equations with a negative  binomial family and link function (GEE used to acocunt for intraindividual clustering of intervals) ",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI (Table 4)",1,0,0,0,0,0,0,1,0,"","non-RSV LRTI",2,2,1,NA,1,10,"Incidence risk ratio for RECURRENT WHEEZING (2 OR MORE EVENTS) SINCE BIRTH (birth to 2 years)",1,1.41,1,0.06,1131,NA,NA,NA,NA,"recurrent wheezing (2 or more events) from birth to 2 years",119,1,2,16.6666666666667
"2190",119,"Outcome 2: recurrent wheezing (two or more events); Recurrent wheezing was defined a-priori as two or more observations of wheezing after the LRTI event in individuals experiencing LRTI and two or more observations of wheezing in those who did not experience an LRTI.",2,2,1,0,1,0,0,"generalised estimating equations with a negative  binomial family and link function (GEE used to acocunt for intraindividual clustering of intervals) ",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hospitalized RSV LRTI (Table 4)",1,0,0,0,0,0,0,1,0,"","non-RSV LRTI",2,2,1,NA,1,10,"Incidence risk ratio for RECURRENT WHEEZING (2 OR MORE EVENTS) SINCE BIRTH (birth to 2 years)",1,1.32,1,0.09,1131,NA,NA,NA,NA,"recurrent wheezing (2 or more events) from birth to 2 years",119,2,2,11.1111111111111
"2193",119,"Outcome 2: recurrent wheezing (two or more events); Recurrent wheezing was defined a-priori as two or more observations of wheezing after the LRTI event in individuals experiencing LRTI and two or more observations of wheezing in those who did not experience an LRTI.",2,2,1,0,1,0,0,"generalised estimating equations with a negative  binomial family and link function (GEE used to acocunt for intraindividual clustering of intervals) ",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI (Table 4)",1,0,0,0,0,0,0,1,0,"","Rhinovirus LRTI",2,2,1,NA,1,10,"Incidence risk ratio for RECURRENT WHEEZING (2 OR MORE EVENTS) SINCE BIRTH (birth to 2 years)",1,1.11,1,0.13,1131,NA,NA,NA,NA,"recurrent wheezing (2 or more events) from birth to 2 years",119,3,2,7.69230769230769
"3313",119,"Outcome 2: recurrent wheezing (three or more events); Recurrent wheezing was defined a-priori as two or more observations of wheezing after the LRTI event in individuals experiencing LRTI and two or more observations of wheezing in those who did not experience an LRTI.",2,2,1,0,1,0,0,"generalised estimating equations with a negative  binomial family and link function (GEE used to acocunt for intraindividual clustering of intervals) ",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI (Table 4)",1,0,0,0,0,0,0,1,0,"","Non-RSV LRTI",2,2,1,NA,1,10,"Incidence risk ratio for RECURRENT WHEEZING (3 OR MORE EVENTS) SINCE BIRTH (birth to 2 years)",1,1.42,1,0.1,1131,NA,NA,NA,NA,"recurrent wheezing (3 or more events) from birth to 2 years",119,1,3,10
"3315",119,"Outcome 2: recurrent wheezing (three or more events); Recurrent wheezing was defined a-priori as two or more observations of wheezing after the LRTI event in individuals experiencing LRTI and two or more observations of wheezing in those who did not experience an LRTI.",2,2,1,0,1,0,0,"generalised estimating equations with a negative  binomial family and link function (GEE used to acocunt for intraindividual clustering of intervals) ",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hospitalized RSV LRTI (Table 4)",1,0,0,0,0,NA,0,1,0,"","Non-RSV LRTI",2,2,1,NA,1,10,"Incidence risk ratio for RECURRENT WHEEZING (3 OR MORE EVENTS) SINCE BIRTH (birth to 2 years)",1,1.51,1,0.15,1131,NA,NA,NA,NA,"recurrent wheezing (3 or more events) from birth to 2 years",119,2,3,6.66666666666667
"3318",119,"Outcome 2: recurrent wheezing (three or more events); Recurrent wheezing was defined a-priori as two or more observations of wheezing after the LRTI event in individuals experiencing LRTI and two or more observations of wheezing in those who did not experience an LRTI.",2,2,1,0,1,0,0,"generalised estimating equations with a negative  binomial family and link function (GEE used to acocunt for intraindividual clustering of intervals) ",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI (Table 4)",1,0,0,0,0,0,0,1,0,"","Rhinovirus LRTI",2,2,1,NA,1,10,"Incidence risk ratio for RECURRENT WHEEZING (3 OR MORE EVENTS) SINCE BIRTH (birth to 2 years)",1,1.12,1,0.28,1131,NA,NA,NA,NA,"recurrent wheezing (3 or more events) from birth to 2 years",119,3,3,3.57142857142857
"1077",120,"Recurrent wheezing in the year of follow up was defined as having at least 4 wheezing episodes. The authors did not describe how wheezing was ascertained.",2,1,1,0,0,0,1,"descriptive statistics (Table 2)",0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI (Table 2)",1,0,0,0,0,2,0,0,1,"Birth to 3 years","Mycoplasma infection",2,2,1,NA,1,10,"descriptive statistics- I calculated OR",2,1.82,1,0.74,145,20,11,5,5,"wheezing in past year (1 year post hospital admission)",120,1,1,1.35135135135135
"1072",120,"Recurrent wheezing in the year of follow up was defined as having at least 4 wheezing episodes. The authors did not describe how wheezing was ascertained.",2,1,1,0,0,0,1,"descriptive statistics (Table 2)",0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI (Table 2)",1,0,0,0,0,2,0,0,1,"Birth to 3 years","Hib infection",2,2,1,NA,1,10,"descriptive statistics",2,3.64,1,1.28,145,20,11,1,2,"wheezing in past year (1 year post hospital admission)",120,2,1,0.78125
"1075",120,"Recurrent wheezing in the year of follow up was defined as having at least 4 wheezing episodes. The authors did not describe how wheezing was ascertained.",2,1,1,0,0,0,1,"descriptive statistics (Table 2)",0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI (Table 2)",1,0,0,0,0,2,0,0,1,"Birth to 3 years","Influenza B infection",2,2,1,NA,1,10,"descriptive statistics",2,0.45,1,1.18,145,20,11,4,1,"wheezing in past year (1 year post hospital admission)",120,3,1,0.847457627118644
"1085",121,"Based on biannual parent telephone interviews, the primary outcome for the present analysis was recurrent wheezing by age 3 years, as defined by the 2007 National Institutes of Health's Expert Panel Report 3: having at least 2  corticosteroid-requiring exacerbations in 6 months or having at least 4 wheezing episodes in 1 year that last at least 1 day and affect sleep. There is no required or specified time frame between episodes of wheezing. Because wheezing in early childhood can be transient, we extended this outcome to children who had recurrent wheezing by age 3 years and also had asthma at age 4 years. We defined asthma at age 4 years using an epidemiologic definition:  having both a physician's diagnosis of asthma and either asthma medication use (eg, albuterol inhaler, and inhaled corticosteroids) or asthma-related symptoms (eg, wheezing and nocturnal cough) between the ages of 3 and 4 years.",2,1,1,0,0,0,1,"descriptive statistics",0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI during hospitalization (Table 1)",1,0,0,0,0,2,1,0,0,"","Rhinovirus",2,2,1,NA,1,10,"descriptive statistics- I used information in Table 1 to calculate the odds ratio",2,0.71,1,0.18,842,196,494,62,111,"recurrent wheezing by 3 years (ages 0-3)",121,1,1,5.55555555555556
